tract,income,pop,black,young,old,id,competitors,competitors_pc,black_pc,young_pc,old_pc,income_pc,inc_group
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"is-olmqaSZ0KCoe-_ftW5w",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"2xuhzqiZz4T5vNdzEgT7fQ",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"XfFdm2wlaO3IDh-i1O-DTQ",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"6I-mDaBLkOFrN-XkMWPr7g",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"LomlpadLEsfLu2O7lPWPJA",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"bpPVn4nF8YR40BjhO6YP1w",7,.001699,0,.1185584,.3174841,64051.02,5
"040130101000000",2.64e+08,4120,0,488.4605,1308.034,"IYeenY7HilJrKUIur3Eijw",7,.001699,0,.1185584,.3174841,64051.02,5
"040130202010000",1.59e+07,824,6.95778,422.4367,19.87937,"hAq4y3FK6tRbjfjvfXAaww",4,.0048544,.0084439,.5126659,.0241255,19293,2
"040130202010000",1.59e+07,824,6.95778,422.4367,19.87937,"GDwvyDgnUombMKvrVnqxvA",4,.0048544,.0084439,.5126659,.0241255,19293,2
"040130202010000",1.59e+07,824,6.95778,422.4367,19.87937,"qZdEeHIYTMCzeQ0kg1iAxQ",4,.0048544,.0084439,.5126659,.0241255,19293,2
"040130202010000",1.59e+07,824,6.95778,422.4367,19.87937,"n0OIZOmu5rOWSJ0-l4b6mw",4,.0048544,.0084439,.5126659,.0241255,19293,2
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"oRqBAYtcBYZHXA7G8FlPaA",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"seucL50Dvg0mpBriQLap5w",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"VEojEXbJ81eiPLSSF9jNEQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"dPAQrPQn8bzsZqt7QSdKjQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"TlQctwynSGjA2SfKHeY-2A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"yvKdAMBtLPAO3rqeVjW0GA",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"VSSO193ph86tmxDVaSDb3A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"oTKHFsKtwOX73EiO5iDLgQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"80VmGCy6UcYYCKC_BONZTQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"6qCDfZ0VAX9-O6X5ZFpXrQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"qak_x5J-ntcT2iOdJoS60A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"LsU2nh3DREZCmV8ZgiSc5A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"nHxi4UjqWOLRidFNnoccAw",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"cHmmow7f9giYMfQ4bp7JHw",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"TX44pKdAmynE8E3TaH0q3A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"nglQaQXuU-d38fGe_tM5-Q",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"PSIoHJpLPnkoH78iYRk6vQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"WidRcJJQT3gb39bDwyRiLg",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"OzsPadMLSTU7Z5Rdf5eW4A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"in-UZwg_LWh_CqU-JwBDrw",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"lNlVwSKqaxE7agiGKfCaAQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"i5Mf5SAxFFNt_MTxAPCH6A",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"suivIX2e8mQKGvbMvbcm2Q",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"yzZxyhouOdM4NwYLEMgaWw",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"RbWAL8KYgUp9pNSeLSjXtQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"RTOIToX8bSm4wKqNBB6omw",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"JHanuNBM8J4B6RakfRLgFg",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"Vn8qcaX64fkl8vByCsSvIg",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"WZNU4bQJJHr3p4SjnjVrkg",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"qQkf0hWe1sD7pD8oO3vYTQ",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"kOh8ZHf8CkFQCwyfDvVJTA",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130202020000",6.15e+07,6403,19.36336,2691.785,808.7809,"e8Eke5v8pXw-PuRCu2uPjg",32,.0049977,.0030241,.4203944,.1263128,9603.085,1
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"uMO2dbCPPXNlifLqmDcVhQ",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"knLSows1coxal0jKtFGl8Q",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"VH9X2UmfxnI8byz5Xr1ebA",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"bLFeZ84rAJdflY1Hu60_vw",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"vJPehU-xd1p_-L0O7IwTjQ",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"nY2QBNMEfT3j68j-DHOGyg",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"scr5gHaPC_36GtaCxmJEHA",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"XBpxFy0h7KE-GtKuCX2JQw",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"HmieoxfEuZT91ojxluadZg",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"eb-d7bMXnzO8DGWJ5x552g",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"giyl3pyGo6sbvsnn94f4Hg",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"NKilucd2dUb5mm-MjnRXcw",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"619v4z_tj2NiZWuX1tPdrw",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"9NT8Ne1DICkv0ebX-gVK5g",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303020000",7.91e+07,4499,66.69134,1540.287,395.6168,"4al-jj2H4VAbTx08jKGPVw",15,.0033341,.0148236,.3423621,.0879344,17579.64,2
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"TO2a5gXGGAU8Uq67bzqE-w",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"6dBsmlgIZhpYG4OL6J5mWA",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"qlV4BAbAvnAEomGj2gudlQ",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"3fNGtIfuHwt0-DD9SSjO6Q",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"UK2LezJRdrNkmF_TH__rCg",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"lHFsO4nIwwgjC_oQYqfAPg",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"Fa-zUFfIMIke1QLeeWT_6g",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"TrUlUCfoa1L034YKEermnQ",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303030000",7.38e+07,5533,109.2781,2005.528,200.6786,"tEvGNTPLV01OiUt_SKn2Ww",9,.0016266,.0197503,.3624666,.0362694,13339.47,1
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"zwJX3eetOhpi-gv4-E4rcQ",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"i3nnQl4pl2-ogZJdeSqWvA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"QNo69O4cy6a3HGb6RrGWzA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"aozcOaCMwOHG8s-lbZ6_gA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"3msnZ6oe0sslHsE1js1QUA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"V3lQtk1LgwAEcF9j-BzchA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"KPffNxenVXEbKeSeC-zmfQ",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"kF8JDYpLnbf8AZS9gpHXJg",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"0EBR4wDqtkbMC-wghpctEg",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"pTBS-RD0_DZwu-Scp0bWwQ",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"QhZgTuDoGMXyLu2WzrPoyw",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303040000",1.39e+08,6523,160.7577,1895.377,614.0645,"SaIX7eay0vV-FxGPqTk1yA",12,.0018396,.0246448,.2905684,.0941384,21242.93,3
"040130303070000",5.75e+07,2977,0,958.3899,152.8187,"ff_QnODW0vqNWZPSTVQTsQ",3,.0010077,0,.3219315,.0513331,19323.61,2
"040130303070000",5.75e+07,2977,0,958.3899,152.8187,"_eCrBSIXbGEW62ynS2_0lA",3,.0010077,0,.3219315,.0513331,19323.61,2
"040130303070000",5.75e+07,2977,0,958.3899,152.8187,"#NAME?",3,.0010077,0,.3219315,.0513331,19323.61,2
"040130303080000",7.63e+07,2881,116.5949,635.035,469.3088,"vB3vEjcw9dfHmgP8ac5ZMQ",2,.0006942,.0404703,.2204217,.1628979,26472.91,4
"040130303080000",7.63e+07,2881,116.5949,635.035,469.3088,"CCHoB_VAjaN6x0GNlgl86w",2,.0006942,.0404703,.2204217,.1628979,26472.91,4
"040130303090000",1.06e+08,4899,137.2006,1637.148,424.4839,"LxdSGPR9XFjn_HVVq2Nzmg",5,.0010206,.0280058,.33418,.086647,21570.37,3
"040130303090000",1.06e+08,4899,137.2006,1637.148,424.4839,"9UgwLTF5mSf9ip2xEYYy2g",5,.0010206,.0280058,.33418,.086647,21570.37,3
"040130303090000",1.06e+08,4899,137.2006,1637.148,424.4839,"7XfT2w9Eb2Xbu-iP4xulPQ",5,.0010206,.0280058,.33418,.086647,21570.37,3
"040130303090000",1.06e+08,4899,137.2006,1637.148,424.4839,"Fo5O94HccxE4PvMQf-G_vQ",5,.0010206,.0280058,.33418,.086647,21570.37,3
